Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/04/2024,11/05/2024,REI.COM  800-426-4840,Shopping,Sale,-173.20,
11/05/2024,11/05/2024,PAYPAL *AIRBNB  HM2DZWCC4,Travel,Sale,-655.77,
11/04/2024,11/05/2024,SQ *LA PANADERIA,Food & Drink,Sale,-28.98,
11/05/2024,11/05/2024,PAYPAL *VANS INC,Shopping,Sale,-69.39,
11/04/2024,11/05/2024,EB *COLLECTIVE DANCE A,Personal,Sale,-123.48,
11/03/2024,11/04/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-21.28,
11/04/2024,11/04/2024,H-E-B ONLINE #108,Groceries,Sale,-210.68,
11/03/2024,11/04/2024,H-E-B  #621,Groceries,Sale,-62.24,
11/01/2024,11/03/2024,WWW.SAMUSICMASTERS.COM,Education,Sale,-90.00,
11/03/2024,11/03/2024,NORTH ITALIA SAN ANTONIO,Food & Drink,Sale,-115.26,
11/02/2024,11/03/2024,PAYPAL *MACY S,Shopping,Sale,-118.81,
11/02/2024,11/03/2024,LULU'S TEAHOUSE,Food & Drink,Sale,-8.28,
11/01/2024,11/03/2024,GOOGLE *CLOUD QS2TPz,Shopping,Sale,-0.05,
11/01/2024,11/03/2024,GOOGLE *YouTube TV,Shopping,Sale,-79.01,
10/30/2024,11/01/2024,PY *HTEAO SAN ANTONIO SHA,Food & Drink,Sale,-3.41,
10/31/2024,11/01/2024,TST* POSTINO - THE RIM,Food & Drink,Sale,-78.51,
10/31/2024,11/01/2024,TARGET        00021873,Shopping,Sale,-68.05,
10/30/2024,10/31/2024,BHS PHYSICIANS NETWORK  I,Health & Wellness,Sale,-12.65,
10/31/2024,10/31/2024,H-E-B ONLINE #108,Groceries,Sale,-85.67,
10/29/2024,10/31/2024,CIRCLE K #2741058,Gas,Sale,-3.69,
10/29/2024,10/30/2024,GOOGLE *YouTubePremium,Shopping,Sale,-24.89,
10/29/2024,10/30/2024,APPLE.COM/BILL,Shopping,Sale,-16.24,
10/28/2024,10/29/2024,H-E-B ONLINE #108,Groceries,Sale,-196.39,
10/28/2024,10/29/2024,PAYPAL *NETFLIX.COM,Bills & Utilities,Sale,-24.89,
10/28/2024,10/28/2024,Payment Thank You-Mobile,,Payment,3137.29,
10/27/2024,10/28/2024,PAYPAL *GRUBHUBFOOD SWEET,Food & Drink,Sale,-11.78,
10/28/2024,10/28/2024,GOOGLE *CBS Mobile App,Shopping,Sale,-14.06,
10/27/2024,10/28/2024,TST* LUNA ROSA BODEGA,Food & Drink,Sale,-73.72,
10/25/2024,10/27/2024,H-E-B  #621,Groceries,Sale,-28.13,
10/26/2024,10/27/2024,WAL-MART #1126,Groceries,Sale,-86.60,
10/25/2024,10/27/2024,CHEVRON 0386240,Gas,Sale,-7.03,
10/26/2024,10/27/2024,PAYPAL *DISNEY PLUS,Bills & Utilities,Sale,-17.27,
